Name,MatrixSize,MaxRow,MinTime,MaxTime,AvgTime,TotalRun,nProcess,NonZeroPerRow,NonZeroPerBlock,AvgCommunication,AvgInterProcessCall,SizeOfData,DiagonalElem,OffDiagonalElem,Bandwidth,InDiagonalBandwidth
input/uk-2002,18520486,149039,    56.356,    56.383,    56.369,100,128,    66.000,9545229,   273.852,   124.031,8,9520000,25229,18519040,148946
input/coPapersCiteseer,434102,3493,     4.851,     4.857,     4.855,100,128,   260.000,908341,    36.453,   122.328,8,262434,28816,433661,3490
input/G3,1585478,12697,     0.432,     0.434,     0.433,100,128,     3.000,49345,   124.484,     5.094,8,47322,616,1237803,10539
input/kkt,2063494,16605,     1.032,     1.040,     1.037,100,128,     6.000,114851,   196.688,    18.516,8,93508,6820,1950323,12959
input/ecology1,1000000,7850,     0.292,     0.298,     0.296,100,128,     4.000,31400,    70.234,     5.312,8,30846,414,734402,281
input/cage15,5154859,41482,     9.511,     9.532,     9.522,100,128,    34.000,1435555,  1357.195,    37.312,8,602278,67195,5110871,41066
input/nlpkkt240,27993600,225271,    35.330,    35.342,    35.336,100,128,    27.000,6082317,  3256.828,    10.750,8,5714858,222010,24435823,7922
input/asia,11950757,95360,     4.360,     4.362,     4.361,100,128,     2.000,240251,     4.141,     4.156,8,189120,12,11014530,93705
input/NLR,4163763,33402,     2.335,     2.337,     2.336,100,128,     6.000,200418,   127.773,     5.406,8,193582,1488,3383592,33394
input/coPapersDBLP,540486,4349,     2.627,     2.636,     2.631,100,128,   128.000,543489,    85.578,   126.875,8,188288,28750,540472,4346
input/uk-2002,18520486,149039,    56.355,    56.385,    56.369,100,128,    66.000,9545229,   273.852,   124.031,8,9520000,25229,18519040,148946
input/coPapersCiteseer,434102,3493,     4.893,     4.899,     4.896,100,128,   260.000,908341,    36.453,   122.328,8,262434,28816,433661,3490
input/nlpkkt160,8345600,67159,    15.440,    15.448,    15.444,100,128,    27.000,1813293,  1503.312,    10.469,8,1589682,73572,7500388,3758
input/cage15,5154859,41482,     9.513,     9.536,     9.525,100,128,    34.000,1435555,  1357.195,    37.312,8,602278,67195,5110871,41066
input/G3,1585478,12697,     0.433,     0.437,     0.435,100,128,     3.000,49345,   124.484,     5.094,8,47322,616,1237803,10539
input/ecology1,1000000,7850,     0.251,     0.253,     0.252,100,128,     4.000,31400,    70.234,     5.312,8,30846,414,734402,281
input/kkt,2063494,16605,     1.034,     1.042,     1.039,100,128,     6.000,114851,   196.688,    18.516,8,93508,6820,1950323,12959
input/nlpkkt240,27993600,225271,    51.924,    51.940,    51.935,100,128,    27.000,6082317,  3256.828,    10.750,8,5714858,222010,24435823,7922
input/asia,11950757,95360,     4.396,     4.399,     4.398,100,128,     2.000,240251,     4.141,     4.156,8,189120,12,11014530,93705
input/NLR,4163763,33402,     2.340,     2.343,     2.342,100,128,     6.000,200418,   127.773,     5.406,8,193582,1488,3383592,33394
input/uk-2002,18520486,149039,    56.459,    56.484,    56.471,100,128,    66.000,9545229,   273.852,   124.031,8,9520000,25229,18519040,148946
input/coPapersDBLP,540486,4349,     2.631,     2.640,     2.636,100,128,   128.000,543489,    85.578,   126.875,8,188288,28750,540472,4346
input/coPapersCiteseer,434102,3493,     4.857,     4.864,     4.861,100,128,   260.000,908341,    36.453,   122.328,8,262434,28816,433661,3490
input/cage15,5154859,41482,     9.536,     9.557,     9.548,100,128,    34.000,1435555,  1357.195,    37.312,8,602278,67195,5110871,41066
input/G3,1585478,12697,     0.421,     0.423,     0.422,100,128,     3.000,49345,   124.484,     5.094,8,47322,616,1237803,10539
input/kkt,2063494,16605,     1.037,     1.045,     1.042,100,128,     6.000,114851,   196.688,    18.516,8,93508,6820,1950323,12959
input/nlpkkt160,8345600,67159,    14.824,    14.831,    14.828,100,128,    27.000,1813293,  1503.312,    10.469,8,1589682,73572,7500388,3758
input/ecology1,1000000,7850,     0.252,     0.254,     0.253,100,128,     4.000,31400,    70.234,     5.312,8,30846,414,734402,281
input/nlpkkt240,27993600,225271,    35.406,    35.415,    35.410,100,128,    27.000,6082317,  3256.828,    10.750,8,5714858,222010,24435823,7922
input/asia,11950757,95360,     4.370,     4.374,     4.372,100,128,     2.000,240251,     4.141,     4.156,8,189120,12,11014530,93705
input/NLR,4163763,33402,     2.355,     2.357,     2.356,100,128,     6.000,200418,   127.773,     5.406,8,193582,1488,3383592,33394
input/coPapersDBLP,540486,4349,     2.640,     2.649,     2.644,100,128,   128.000,543489,    85.578,   126.875,8,188288,28750,540472,4346
input/uk-2002,18520486,149039,    56.440,    56.468,    56.454,100,128,    66.000,9545229,   273.852,   124.031,8,9520000,25229,18519040,148946
input/coPapersCiteseer,434102,3493,     4.861,     4.867,     4.865,100,128,   260.000,908341,    36.453,   122.328,8,262434,28816,433661,3490
input/thermal2,1227087,9847,     0.812,     0.815,     0.813,100,128,     6.000,59024,    74.641,     5.000,8,56486,603,1023979,9772
input/nlpkkt160,8345600,9551,     1.730,     1.768,     1.757,100,900,    27.000,257877,   390.533,    12.644,8,214788,23865,6436571,1093
input/nlpkkt240,27993600,32038,     7.301,     7.333,     7.318,100,900,    27.000,865026,   850.903,    12.609,8,776098,64304,25094739,2266
input/cage15,5154859,5899,     1.080,     1.125,     1.105,100,900,    37.000,221236,   228.382,    57.767,8,56718,6885,5012265,5887
input/G3,1585478,1814,     0.078,     0.091,     0.087,100,900,     3.000,7195,    39.458,     6.282,8,6540,273,878771,1627
